,,64.978.633,72.592.196
,,8.259.995,6.483.498
,,8.389.283,7.809.886
,,7.043.741,62.728.086
,,64.882.865,7.086.837
,,62.584.434,79.726.915
,,57.987.566,80.684.595
,,59.519.854,8.073.248
,,545.878,8.437.167
,,56.215.854,8.212.111
,,53.725.886,8.441.956
,,5.410.896,8.374.918
,,5.425.261,8.317.456
,,5.391.742,8.279.149
,,5.401.319,8.288.726
,,5.439.626,8.307.879
,,53.821.654,8.365.341
,,5.401.319,8.350.976
,,5.401.319,8.264.784
,,5.377.377,8.202.535
,,5.391.742,8.341.399
,,5.401.319,837.013
,,5.363.012,8.365.341
,,54.204.726,8.346.188
,,53.725.886,8.322.245
,,5.410.896,8.365.341
,,53.821.654,8.437.167
,,53.678,8.264.784
,,5.410.896,8.336.611
,,53.725.886,839.886
,,5.401.319,8.331.821
,,53.965.306,8.288.726
,,5.391.742,837.013
,,53.821.654,8.312.668
,,5.386.954,8.303.091
,,53.965.306,8.355.764
,,5.391.742,8.322.245
,,5.377.377,8.470.686
,,5.386.954,837.013
,,53.725.886,8.475.474
,,5.410.896,8.465.898
,,5.353.435,8.374.918
,,5.353.435,8.422.802
,,53.821.654,8.283.937
,,53.965.306,8.379.706
,,5.434.838,8.346.188
,,53.725.886,8.355.764
,,53.725.886,8.346.188
,,5.401.319,8.283.937
,,5.391.742,8.379.706
,,53.678,8.384.495
,,5.386.954,8.346.188
,,53.965.306,8.327.033
,,5.439.626,8.355.764
,,54.539.914,8.418.014
,,53.725.886,8.379.706
,,53.582.234,8.293.514
,,53.678,8.312.668
,,5.353.435,8.422.802
,,53.821.654,8.346.188
,,5.363.012,8.389.283
,,53.821.654,8.322.245
,,5.415.684,8.389.283
,,54.061.074,8.298.303
,,54.061.074,8.365.341
,,53.486.466,8.418.014
,,53.821.654,8.336.611
,,53.725.886,8.384.495
,,5.391.742,8.465.898
,,5.363.012,8.379.706
,,53.247.046,8.322.245
,,5.353.435,8.389.283
,,53.438.582,839.886
,,5.329.493,837.013
,,5.377.377,8.298.303
,,533.907,8.341.399
,,5.363.012,8.336.611
,,53.678,8.322.245
,,5.363.012,8.360.553
,,53.582.234,8.374.918
,,5.401.319,8.264.784
,,53.486.466,8.346.188
,,5.353.435,839.886
,,53.965.306,8.408.437
,,5.410.896,8.327.033
,,53.965.306,8.346.188
,,5.363.012,8.336.611
,,5.329.493,8.336.611
,,5.386.954,8.360.553
,,53.678,8.422.802
,,5.363.012,8.403.648
,,5.386.954,837.013
,,53.965.306,8.307.879
,,53.678,8.274.361
,,5.329.493,8.418.014
,,5.401.319,8.346.188
,,53.725.886,8.350.976
,,53.821.654,8.403.648
,,53.725.886,8.327.033
,,53.678,8.418.014
,,53.725.886,8.394.072
,,5.386.954,8.379.706
,,53.725.886,8.360.553
