,-14.652.514,75.082.164,76.614.456
,-0.6847417,7.666.234,65.696.893
,0.78529817,78.290.396,65.840.545
,0.5793968,7.785.944,67.133.417
,-22.170.308,68.522.053,49.703.627
,-260.968,8.437.167,5.884.948
,-0.35913026,7.627.927,10.620.679
,-15.275.006,71.634.517,52.289.367
,-0.521936,8.432.379,5.779.603
,0.7038953,605.733,7.297.527
,-0.2825158,7.752.425,6.459.556
,-0.29209262,75.944.076,6.301.539
,-0.61770403,7.345.411,63.446.345
,-0.6464345,75.321.584,60.621.185
,-0.46447513,7.503.428,65.265.937
,-0.35434186,75.848.308,6.670.246
,-0.30645782,76.135.616,65.936.313
,-0.521936,7.599.196,67.085.533
,-0.62728083,7.589.619,67.468.605
,-0.45010993,7.560.889,6.751.649
,-0.4261679,7.603.985,67.372.837
,-0.33039984,75.848.308,6.646.304
,-0.320823,75.848.308,67.468.605
,-0.5746084,7.608.773,6.679.823
,-0.45968673,75.800.424,66.606.693
,-0.39264908,7.541.735,66.846.113
,-0.320823,7.603.985,66.606.693
,-0.4309563,7.599.196,67.085.533
,-0.4213795,7.575.254,6.670.246
,-0.33039984,7.565.677,6.703.765
,-0.33039984,7.536.947,67.133.417
,-0.23463176,7.551.312,6.679.823
,-0.39743748,7.565.677,66.893.997
,-0.34955344,7.599.196,66.750.345
,-0.3878607,75.848.308,66.750.345
,-0.41180268,75.561.004,6.646.304
,-0.34476504,75.465.236,6.789.956
,-0.39743748,75.704.656,6.679.823
,-0.45968673,75.704.656,67.229.185
,-0.4261679,7.627.927,6.742.072
,-0.35913026,7.560.889,6.694.188
,-0.36870706,7.565.677,6.694.188
,-0.49799395,75.800.424,66.989.765
,-0.33518824,7.575.254,6.727.707
,-0.40222588,7.565.677,66.989.765
,-0.521936,74.603.324,68.043.213
,-0.34955344,7.575.254,66.989.765
,-0.40222588,7.603.985,67.085.533
,-0.320823,75.704.656,67.229.185
,-0.35913026,7.541.735,6.727.707
,-0.39743748,7.575.254,67.085.533
,-0.20590134,7.551.312,6.679.823
,-0.35434186,75.465.236,6.646.304
,-0.38307226,75.848.308,66.367.273
,-0.34476504,75.848.308,6.679.823
,-0.33997664,7.575.254,67.564.373
,-0.33518824,7.565.677,66.846.113
,-0.34955344,75.561.004,66.893.997
,-0.4165911,75.800.424,6.603.208
,-0.35913026,7.565.677,6.655.881
,-0.35434186,75.848.308,6.670.246
,-0.35434186,7.575.254,6.694.188
,-0.34955344,7.589.619,67.324.953
,-0.39743748,7.599.196,6.694.188
,-0.33518824,74.986.396,66.846.113
,-0.33039984,761.835,66.750.345
,-0.32561144,75.800.424,66.271.505
,-0.47884035,75.800.424,66.846.113
,-0.40222588,7.608.773,6.631.939
,-0.36870706,75.944.076,6.655.881
,-0.37349546,7.560.889,67.085.533
,-0.41180268,7.575.254,6.679.823
,-0.36870706,7.608.773,66.415.157
,-0.36870706,7.599.196,67.229.185
,-0.35913026,75.704.656,66.606.693
,-0.44532153,7.589.619,6.679.823
,-0.34955344,75.800.424,66.893.997
,-0.4261679,7.608.773,66.750.345
,-0.36870706,7.599.196,6.679.823
,-0.33039984,7.603.985,66.846.113
,-0.33997664,7.560.889,66.654.577
,-0.34476504,7.560.889,67.133.417
,-0.2777274,7.517.793,66.606.693
,-0.36870706,7.551.312,6.694.188
,-0.34476504,7.589.619,6.646.304
,-0.40222588,7.589.619,6.631.939
,-0.37828386,7.575.254,6.670.246
,-0.23942018,7.599.196,6.670.246
,-0.31124622,7.541.735,6.670.246
,-0.32561144,75.321.584,66.510.925
,-0.36391866,75.704.656,6.646.304
,-0.35434186,7.575.254,66.750.345
,-0.36391866,7.560.889,6.646.304
,48.219.223,8.073.248,1.121.444
,-848.984,51.571.107,43.382.936
,-34.476.504,7.881.712,9.131.485
,-0.7182605,66.079.965,9.634.268
