"timestamp","x","y","z"
"617159855452706","-1.4460979","4.1132383","6.612785"
"617159875550260","-0.6847417","4.3766007","7.800309"
"617159895494168","0.18195933","4.6160207","7.9822683"
"617159915458233","0.5315128","2.9592333","7.201759"
"617159935178287","-0.18674773","2.5905263","7.067683"
"617159955088393","-0.2873042","2.0207062","6.789956"
"617159975182666","-0.29688102","0.9720459","6.588843"
"617159995147668","0.2873042","0.14844051","6.799533"
"617160014967565","-0.6560113","-0.6847417","6.540959"
"617160035011786","-2.4277205","0.17238252","6.2392898"
"617160054717413","-0.272939","-1.0007763","6.6510925"
"617160074757207","-0.25857377","0.04309563","6.033388"
"617160094845490","-0.40701428","1.1109096","7.043741"
"617160114783096","0.842759","1.5801731","9.102755"
"617160134680129","0.04309563","1.1300632","10.941502"
"617160154530808","-1.9009962","0.5363012","11.310209"
"617160174627998","-3.9983168","-0.15322891","12.559982"
"617160194272687","-4.687847","-1.13964","12.976573"
"617160214392689","-3.9552212","-1.6328455","13.10586"
"617160234206494","-2.906561","-1.2114661","13.129802"
"617160254264360","-4.223372","-2.006341","12.588713"
"617160274186445","-5.7508726","-1.5562311","12.492945"
"617160294122854","-5.439626","-1.661576","11.319786"
"617160314118168","-5.1235914","0.0047884034","11.7268"
"617160334140306","-5.439626","0.2825158","11.918336"
"617160353893589","-6.3781533","-0.17238252","12.220005"
"617160373761820","-8.054094","-0.6655881","10.745177"
"617160393748228","-7.967903","-0.40701428","8.418014"
"617160413711147","-6.5505357","-0.81402856","6.799533"
"617160433774586","-5.554548","-0.8331822","6.5840545"
"617160453531515","-3.9456444","-0.01436521","6.933608"
"617160473445215","-4.4819455","-0.7565677","4.7309427"
"617160493385582","-5.889736","-2.1452048","3.0502129"
"617160513203761","-7.809886","-3.3039982","1.910573"
"617160533273346","-9.610326","-5.2241483","-0.18195933"
"617160553159442","-13.369223","-9.198523","-0.110133275"
"617160573509704","-8.202535","-2.4660277","0.8858546"
"617160592837675","-8.781932","-3.6774938","-1.9728222"
"617160612636062","-9.629479","-4.256891","-1.2114661"
"617160633022575","-9.782708","-4.4915223","-3.4524388"
"617160652680858","-9.801862","-5.070919","-1.8483237"
"617160672675496","-8.858546","-3.6631286","0.63206923"
"617160692441643","-8.825027","-4.510676","-2.8395233"
"617160712361802","-7.9487495","-3.6631286","-2.183512"
"617160732313626","-7.1347213","-3.9264908","-2.5474305"
"617160752213108","-7.991845","-5.2002063","-0.93373865"
"617160773482328","-7.7907324","-8.485051","-0.20111294"
"617160792115507","-5.0757074","-10.366894","-2.906561"
"617160811990770","0.7278373","-10.860099","-2.1499932"
"617160831927282","-4.5920787","-8.240842","-2.801216"
"617160851844263","-8.303091","-8.221688","-2.2649148"
"617160871761870","-9.485827","-7.551312","3.6296098"
"617160891642340","-14.245501","-1.9201498","0.7565677"
"617160911653071","-9.356541","1.091756","3.3087866"
"617160931553646","-7.704541","1.6807296","5.1475334"
"617160951523232","-3.9552212","-2.681506","6.220136"
"617160971395213","-2.1883004","-11.496957","-0.272939"
"617160991374538","-1.3838485","-17.405846","2.3080103"
"617161011335425","-1.8818425","-20.982784","0.81402856"
"617161031168031","-4.343082","-18.157625","-1.1492168"
"617161051170689","-5.1235914","-8.671799","-5.0134583"
"617161071025223","-8.293514","-9.548077","1.115698"
"617161091063662","-7.9104424","-4.9799395","-0.12928689"
"617161110989602","-5.7748146","-5.0517654","-1.1204864"
"617161131047208","-3.3901896","-9.217676","5.6886234"
"617161150855179","-2.944868","-7.9152308","1.1204864"
